hostname	publicSuffix	source	line
amplifyapp.com	amplifyapp.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	113
awsglobalaccelerator.com	awsglobalaccelerator.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	136
cloudfront.net	cloudfront.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	150
elasticbeanstalk.com	elasticbeanstalk.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	153
cf-ipfs.com	cf-ipfs.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	385
cloudflare-ipfs.com	cloudflare-ipfs.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	387
cloudflare.net	cloudflare.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	390
pages.dev	pages.dev	C:\Users\PC\Downloads\top100110millionurls\01.txt	409
trycloudflare.com	trycloudflare.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	410
workers.dev	workers.dev	C:\Users\PC\Downloads\top100110millionurls\01.txt	413
discordsays.com	discordsays.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	456
playstation-cloud.com	playstation-cloud.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1727
withyoutube.com	withyoutube.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	2067
myqnapcloud.com	myqnapcloud.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	39447
gdynia.pl	gdynia.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	419329
gov.qa	gov.qa	C:\Users\PC\Downloads\top100110millionurls\01.txt	512810
cfolks.pl	cfolks.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	614761
dkonto.pl	dkonto.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	615726
eurodir.ru	eurodir.ru	C:\Users\PC\Downloads\top100110millionurls\01.txt	616670
gov.cz	gov.cz	C:\Users\PC\Downloads\top100110millionurls\01.txt	617528
heliohost.us	heliohost.us	C:\Users\PC\Downloads\top100110millionurls\01.txt	617788
mcdir.ru	mcdir.ru	C:\Users\PC\Downloads\top100110millionurls\01.txt	619533
netlib.re	netlib.re	C:\Users\PC\Downloads\top100110millionurls\01.txt	621191
pgw.jp	pgw.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	622097
mittwaldserver.info	mittwaldserver.info	C:\Users\PC\Downloads\top100110millionurls\01.txt	646584
wpmudev.host	wpmudev.host	C:\Users\PC\Downloads\top100110millionurls\01.txt	656689
bielsko.pl	bielsko.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	658204
boo.jp	boo.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	658218
boy.jp	boy.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	658220
chicappa.jp	chicappa.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	658251
chu.jp	chu.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	658255
ciao.jp	ciao.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	658256
edgekey-staging.net	edgekey-staging.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	658361
hateblo.jp	hateblo.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	658483
hatenablog.jp	hatenablog.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	658484
hatenadiary.com	hatenadiary.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	658485
hatenadiary.jp	hatenadiary.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	658486
in-berlin.de	in-berlin.de	C:\Users\PC\Downloads\top100110millionurls\01.txt	658541
lublin.pl	lublin.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	658642
rs.ba	rs.ba	C:\Users\PC\Downloads\top100110millionurls\01.txt	658855
schulserver.de	schulserver.de	C:\Users\PC\Downloads\top100110millionurls\01.txt	658873
sub.jp	sub.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	658934
tche.br	tche.br	C:\Users\PC\Downloads\top100110millionurls\01.txt	658945
webspaceconfig.de	webspaceconfig.de	C:\Users\PC\Downloads\top100110millionurls\01.txt	659063
reserve-online.net	reserve-online.net	C:\Users\PC\Downloads\top100110millionurls\01.txt	666264
hypernode.io	hypernode.io	C:\Users\PC\Downloads\top100110millionurls\01.txt	669662
moo.jp	moo.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	678636
mydns.jp	mydns.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	678661
rub.de	rub.de	C:\Users\PC\Downloads\top100110millionurls\01.txt	678980
sblo.jp	sblo.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	679008
lodz.pl	lodz.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	685468
altervista.org	altervista.org	C:\Users\PC\Downloads\top100110millionurls\01.txt	729144
hatenablog.com	hatenablog.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	729191
main.jp	main.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	729216
sakura.ne.jp	sakura.ne.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	729248
torun.pl	torun.pl	C:\Users\PC\Downloads\top100110millionurls\01.txt	768520
webflow.io	webflow.io	C:\Users\PC\Downloads\top100110millionurls\01.txt	772518
readthedocs.io	readthedocs.io	C:\Users\PC\Downloads\top100110millionurls\01.txt	786237
gov.scot	gov.scot	C:\Users\PC\Downloads\top100110millionurls\01.txt	800336
myshopify.com	myshopify.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	838537
lima-city.de	lima-city.de	C:\Users\PC\Downloads\top100110millionurls\01.txt	840492
square.site	square.site	C:\Users\PC\Downloads\top100110millionurls\01.txt	854411
ruhr-uni-bochum.de	ruhr-uni-bochum.de	C:\Users\PC\Downloads\top100110millionurls\01.txt	919139
pythonanywhere.com	pythonanywhere.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	956105
0am.jp	0am.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1003595
0g0.jp	0g0.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1003685
0j0.jp	0j0.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1003726
0t0.jp	0t0.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1003851
123hjemmeside.dk	123hjemmeside.dk	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005890
123hjemmeside.no	123hjemmeside.no	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005891
123homepage.it	123homepage.it	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005892
123kotisivu.fi	123kotisivu.fi	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005919
123minsida.se	123minsida.se	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005939
123miweb.es	123miweb.es	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005940
123paginaweb.pt	123paginaweb.pt	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006050
123siteweb.fr	123siteweb.fr	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006113
123webseite.at	123webseite.at	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006165
123webseite.de	123webseite.de	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006166
123website.be	123website.be	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006167
123website.ch	123website.ch	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006168
123website.lu	123website.lu	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006170
123website.nl	123website.nl	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006171
12hp.at	12hp.at	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006352
12hp.ch	12hp.ch	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006353
12hp.de	12hp.de	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006354
1337.pictures	1337.pictures	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006480
1cooldns.com	1cooldns.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1008358
1kapp.com	1kapp.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1008803
2-d.jp	2-d.jp	C:\Users\PC\Downloads\top100110millionurls\01.txt	1015677
2038.io	2038.io	C:\Users\PC\Downloads\top100110millionurls\01.txt	1015923
2ix.at	2ix.at	C:\Users\PC\Downloads\top100110millionurls\01.txt	1018373
2ix.ch	2ix.ch	C:\Users\PC\Downloads\top100110millionurls\01.txt	1018374
2ix.de	2ix.de	C:\Users\PC\Downloads\top100110millionurls\01.txt	1018375
3utilities.com	3utilities.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1021569
4lima.at	4lima.at	C:\Users\PC\Downloads\top100110millionurls\01.txt	1023212
4lima.ch	4lima.ch	C:\Users\PC\Downloads\top100110millionurls\01.txt	1023213
4lima.de	4lima.de	C:\Users\PC\Downloads\top100110millionurls\01.txt	1023214
4u.com	4u.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1023565
5g.in	5g.in	C:\Users\PC\Downloads\top100110millionurls\01.txt	1025440
a2hosted.com	a2hosted.com	C:\Users\PC\Downloads\top100110millionurls\01.txt	1034492
