hostname	firstLabel	labelCount	suggestedExactHostRule	suggestedPslOverrideLabel	networkStatus
0am.jp	0am	2	0am.jp	0am	not-tested
0g0.jp	0g0	2	0g0.jp	0g0	not-tested
0j0.jp	0j0	2	0j0.jp	0j0	not-tested
0t0.jp	0t0	2	0t0.jp	0t0	not-tested
1.azurestaticapps.net	1	3	1.azurestaticapps.net	1	not-tested
123hjemmeside.dk	123hjemmeside	2	123hjemmeside.dk	123hjemmeside	not-tested
123hjemmeside.no	123hjemmeside	2	123hjemmeside.no	123hjemmeside	not-tested
123homepage.it	123homepage	2	123homepage.it	123homepage	not-tested
123kotisivu.fi	123kotisivu	2	123kotisivu.fi	123kotisivu	not-tested
123minsida.se	123minsida	2	123minsida.se	123minsida	not-tested
123miweb.es	123miweb	2	123miweb.es	123miweb	not-tested
123paginaweb.pt	123paginaweb	2	123paginaweb.pt	123paginaweb	not-tested
123siteweb.fr	123siteweb	2	123siteweb.fr	123siteweb	not-tested
123webseite.at	123webseite	2	123webseite.at	123webseite	not-tested
123webseite.de	123webseite	2	123webseite.de	123webseite	not-tested
123website.be	123website	2	123website.be	123website	not-tested
123website.ch	123website	2	123website.ch	123website	not-tested
123website.lu	123website	2	123website.lu	123website	not-tested
123website.nl	123website	2	123website.nl	123website	not-tested
12hp.at	12hp	2	12hp.at	12hp	not-tested
12hp.ch	12hp	2	12hp.ch	12hp	not-tested
12hp.de	12hp	2	12hp.de	12hp	not-tested
1337.pictures	1337	2	1337.pictures	1337	not-tested
180r.com	180r	2	180r.com	180r	not-tested
1cooldns.com	1cooldns	2	1cooldns.com	1cooldns	not-tested
1kapp.com	1kapp	2	1kapp.com	1kapp	not-tested
2-d.jp	2-d	2	2-d.jp	2-d	not-tested
2.azurestaticapps.net	2	3	2.azurestaticapps.net	2	not-tested
2038.io	2038	2	2038.io	2038	not-tested
2ix.at	2ix	2	2ix.at	2ix	not-tested
2ix.ch	2ix	2	2ix.ch	2ix	not-tested
2ix.de	2ix	2	2ix.de	2ix	not-tested
3utilities.com	3utilities	2	3utilities.com	3utilities	not-tested
4.at	4	2	4.at	4	not-tested
4.bg	4	2	4.bg	4	not-tested
4lima.at	4lima	2	4lima.at	4lima	not-tested
4lima.ch	4lima	2	4lima.ch	4lima	not-tested
4lima.de	4lima	2	4lima.de	4lima	not-tested
4u.com	4u	2	4u.com	4u	not-tested
5g.in	5g	2	5g.in	5g	not-tested
611.to	611	2	611.to	611	not-tested
6g.in	6g	2	6g.in	6g	not-tested
a.se	a	2	a.se	a	not-tested
a2hosted.com	a2hosted	2	a2hosted.com	a2hosted	not-tested
ab.ca	ab	2	ab.ca	ab	not-tested
abc.br	abc	2	abc.br	abc	not-tested
abkhazia.su	abkhazia	2	abkhazia.su	abkhazia	not-tested
abrdns.com	abrdns	2	abrdns.com	abrdns	not-tested
abruzzo.it	abruzzo	2	abruzzo.it	abruzzo	not-tested
ac.ae	ac	2	ac.ae	ac	not-tested
ac.at	ac	2	ac.at	ac	not-tested
ac.bd	ac	2	ac.bd	ac	not-tested
ac.be	ac	2	ac.be	ac	not-tested
ac.bw	ac	2	ac.bw	ac	not-tested
ac.cn	ac	2	ac.cn	ac	not-tested
ac.cr	ac	2	ac.cr	ac	not-tested
ac.cy	ac	2	ac.cy	ac	not-tested
ac.eg	ac	2	ac.eg	ac	not-tested
ac.fj	ac	2	ac.fj	ac	not-tested
ac.gov.br	ac	3	ac.gov.br	ac	not-tested
ac.id	ac	2	ac.id	ac	not-tested
ac.il	ac	2	ac.il	ac	not-tested
ac.im	ac	2	ac.im	ac	not-tested
ac.in	ac	2	ac.in	ac	not-tested
ac.ir	ac	2	ac.ir	ac	not-tested
ac.jp	ac	2	ac.jp	ac	not-tested
ac.ke	ac	2	ac.ke	ac	not-tested
ac.kr	ac	2	ac.kr	ac	not-tested
ac.leg.br	ac	3	ac.leg.br	ac	not-tested
ac.lk	ac	2	ac.lk	ac	not-tested
ac.ma	ac	2	ac.ma	ac	not-tested
ac.me	ac	2	ac.me	ac	not-tested
ac.mu	ac	2	ac.mu	ac	not-tested
ac.mw	ac	2	ac.mw	ac	not-tested
ac.mz	ac	2	ac.mz	ac	not-tested
ac.nz	ac	2	ac.nz	ac	not-tested
ac.pa	ac	2	ac.pa	ac	not-tested
ac.pr	ac	2	ac.pr	ac	not-tested
ac.rs	ac	2	ac.rs	ac	not-tested
ac.ru	ac	2	ac.ru	ac	not-tested
ac.rw	ac	2	ac.rw	ac	not-tested
ac.se	ac	2	ac.se	ac	not-tested
ac.th	ac	2	ac.th	ac	not-tested
ac.tz	ac	2	ac.tz	ac	not-tested
ac.ug	ac	2	ac.ug	ac	not-tested
ac.uk	ac	2	ac.uk	ac	not-tested
ac.vn	ac	2	ac.vn	ac	not-tested
ac.za	ac	2	ac.za	ac	not-tested
ac.zm	ac	2	ac.zm	ac	not-tested
ac.zw	ac	2	ac.zw	ac	not-tested
accesscam.org	accesscam	2	accesscam.org	accesscam	not-tested
act.edu.au	act	3	act.edu.au	act	not-tested
activetrail.biz	activetrail	2	activetrail.biz	activetrail	not-tested
ad.jp	ad	2	ad.jp	ad	not-tested
adaptable.app	adaptable	2	adaptable.app	adaptable	not-tested
adimo.co.uk	adimo	3	adimo.co.uk	adimo	not-tested
adm.br	adm	2	adm.br	adm	not-tested
adobeaemcloud.com	adobeaemcloud	2	adobeaemcloud.com	adobeaemcloud	not-tested
adobeaemcloud.net	adobeaemcloud	2	adobeaemcloud.net	adobeaemcloud	not-tested
adobeio-static.net	adobeio-static	2	adobeio-static.net	adobeio-static	not-tested
adobeioruntime.net	adobeioruntime	2	adobeioruntime.net	adobeioruntime	not-tested
adv.br	adv	2	adv.br	adv	not-tested
adygeya.ru	adygeya	2	adygeya.ru	adygeya	not-tested
adygeya.su	adygeya	2	adygeya.su	adygeya	not-tested
ae.org	ae	2	ae.org	ae	not-tested
aem.live	aem	2	aem.live	aem	not-tested
aem.page	aem	2	aem.page	aem	not-tested
aeroport.fr	aeroport	2	aeroport.fr	aeroport	not-tested
affinitylottery.org.uk	affinitylottery	3	affinitylottery.org.uk	affinitylottery	not-tested
afjord.no	afjord	2	afjord.no	afjord	not-tested
africa.com	africa	2	africa.com	africa	not-tested
ag.it	ag	2	ag.it	ag	not-tested
agr.br	agr	2	agr.br	agr	not-tested
agric.za	agric	2	agric.za	agric	not-tested
agrigento.it	agrigento	2	agrigento.it	agrigento	not-tested
agro.pl	agro	2	agro.pl	agro	not-tested
ah.cn	ah	2	ah.cn	ah	not-tested
ai.in	ai	2	ai.in	ai	not-tested
ai.kr	ai	2	ai.kr	ai	not-tested
ai.vn	ai	2	ai.vn	ai	not-tested
aichi.jp	aichi	2	aichi.jp	aichi	not-tested
aid.pl	aid	2	aid.pl	aid	not-tested
aivencloud.com	aivencloud	2	aivencloud.com	aivencloud	not-tested
aju.br	aju	2	aju.br	aju	not-tested
ak.us	ak	2	ak.us	ak	not-tested
akadns.net	akadns	2	akadns.net	akadns	not-tested
akamai-staging.net	akamai-staging	2	akamai-staging.net	akamai-staging	not-tested
akamai.net	akamai	2	akamai.net	akamai	not-tested
akamaiedge-staging.net	akamaiedge-staging	2	akamaiedge-staging.net	akamaiedge-staging	not-tested
akamaiedge.net	akamaiedge	2	akamaiedge.net	akamaiedge	not-tested
