"hostname"	"firstClassification"	"secondClassification"	"firstDnsStatus"	"secondDnsStatus"	"firstHttpStatus"	"firstHttpsStatus"	"secondHttpStatus"	"secondHttpsStatus"	"firstFinalHostname"	"secondFinalHostname"	"decision"
"0am.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"0am.jp"	"0am.jp"	"repeatedly-not-resolved"
"0g0.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"0g0.jp"	"0g0.jp"	"repeatedly-not-resolved"
"0j0.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"0j0.jp"	"0j0.jp"	"repeatedly-not-resolved"
"0t0.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"0t0.jp"	"0t0.jp"	"repeatedly-not-resolved"
"1.azurestaticapps.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"1.azurestaticapps.net"	"1.azurestaticapps.net"	"repeatedly-not-resolved"
"180r.com"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"180r.com"	"180r.com"	"repeatedly-not-resolved"
"2.azurestaticapps.net"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"2.azurestaticapps.net"	"2.azurestaticapps.net"	"repeatedly-not-resolved"
"2-d.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"2-d.jp"	"2-d.jp"	"repeatedly-not-resolved"
"4.at"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"4.at"	"4.at"	"repeatedly-not-resolved"
"4.bg"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"4.bg"	"4.bg"	"repeatedly-not-resolved"
"5g.in"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"5g.in"	"5g.in"	"repeatedly-not-resolved"
"611.to"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"611.to"	"611.to"	"repeatedly-not-resolved"
"6g.in"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"6g.in"	"6g.in"	"repeatedly-not-resolved"
"a.se"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"a.se"	"a.se"	"repeatedly-not-resolved"
"a2hosted.com"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"a2hosted.com"	"a2hosted.com"	"repeatedly-not-resolved"
"ab.ca"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ab.ca"	"ab.ca"	"repeatedly-not-resolved"
"abc.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"abc.br"	"abc.br"	"repeatedly-not-resolved"
"abruzzo.it"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"abruzzo.it"	"abruzzo.it"	"repeatedly-not-resolved"
"ac.ae"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.ae"	"ac.ae"	"repeatedly-not-resolved"
"ac.at"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.at"	"ac.at"	"repeatedly-not-resolved"
"ac.bd"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.bd"	"ac.bd"	"repeatedly-not-resolved"
"ac.be"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.be"	"ac.be"	"repeatedly-not-resolved"
"ac.bw"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.bw"	"ac.bw"	"repeatedly-not-resolved"
"ac.cn"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.cn"	"ac.cn"	"repeatedly-not-resolved"
"ac.cr"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.cr"	"ac.cr"	"repeatedly-not-resolved"
"ac.cy"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.cy"	"ac.cy"	"repeatedly-not-resolved"
"ac.eg"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.eg"	"ac.eg"	"repeatedly-not-resolved"
"ac.fj"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.fj"	"ac.fj"	"repeatedly-not-resolved"
"ac.id"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.id"	"ac.id"	"repeatedly-not-resolved"
"ac.il"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.il"	"ac.il"	"repeatedly-not-resolved"
"ac.im"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.im"	"ac.im"	"repeatedly-not-resolved"
"ac.in"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.in"	"ac.in"	"repeatedly-not-resolved"
"ac.ir"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.ir"	"ac.ir"	"repeatedly-not-resolved"
"ac.jp"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.jp"	"ac.jp"	"repeatedly-not-resolved"
"ac.ke"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.ke"	"ac.ke"	"repeatedly-not-resolved"
"ac.kr"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.kr"	"ac.kr"	"repeatedly-not-resolved"
"ac.leg.br"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.leg.br"	"ac.leg.br"	"repeatedly-not-resolved"
"ac.ma"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.ma"	"ac.ma"	"repeatedly-not-resolved"
"ac.me"	"dns-only"	"dns-only"	"resolved"	"resolved"	"0"	"0"	"0"	"0"	"ac.me"	"ac.me"	"repeatedly-dns-only"
"ac.mu"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.mu"	"ac.mu"	"repeatedly-not-resolved"
"ac.mw"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.mw"	"ac.mw"	"repeatedly-not-resolved"
"ac.mz"	"not-resolved"	"not-resolved"	"failed"	"failed"	"0"	"0"	"0"	"0"	"ac.mz"	"ac.mz"	"repeatedly-not-resolved"
