reason	source	line	original
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	113	amplifyapp.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	136	awsglobalaccelerator.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	150	cloudfront.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	153	elasticbeanstalk.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	385	cf-ipfs.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	387	cloudflare-ipfs.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	390	cloudflare.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	409	pages.dev
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	410	trycloudflare.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	413	workers.dev
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	456	discordsays.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1727	playstation-cloud.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	2067	withyoutube.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	39447	myqnapcloud.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	419329	gdynia.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	614761	cfolks.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	615726	dkonto.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	616670	eurodir.ru
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	617788	heliohost.us
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	619533	mcdir.ru
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	621191	netlib.re
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	622097	pgw.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	646584	mittwaldserver.info
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	656689	wpmudev.host
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658204	bielsko.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658218	boo.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658220	boy.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658251	chicappa.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658255	chu.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658256	ciao.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658361	edgekey-staging.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658483	hateblo.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658484	hatenablog.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658485	hatenadiary.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658486	hatenadiary.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658541	in-berlin.de
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658642	lublin.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658855	rs.ba
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658873	schulserver.de
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658934	sub.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	658945	tche.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	659063	webspaceconfig.de
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	666264	reserve-online.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	669662	hypernode.io
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	678636	moo.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	678661	mydns.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	678980	rub.de
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	679008	sblo.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	685468	lodz.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	729144	altervista.org
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	729191	hatenablog.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	729216	main.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	729248	sakura.ne.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	768520	torun.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	772518	webflow.io
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	786237	readthedocs.io
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	838537	myshopify.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	840492	lima-city.de
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	854411	square.site
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	919139	ruhr-uni-bochum.de
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	956105	pythonanywhere.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1003595	0am.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1003685	0g0.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1003726	0j0.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1003851	0t0.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005890	123hjemmeside.dk
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005891	123hjemmeside.no
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005892	123homepage.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005919	123kotisivu.fi
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005939	123minsida.se
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1005940	123miweb.es
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006050	123paginaweb.pt
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006113	123siteweb.fr
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006165	123webseite.at
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006166	123webseite.de
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006167	123website.be
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006168	123website.ch
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006170	123website.lu
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006171	123website.nl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006352	12hp.at
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006353	12hp.ch
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006354	12hp.de
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1006480	1337.pictures
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1008358	1cooldns.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1008803	1kapp.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1015677	2-d.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1015923	2038.io
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1018373	2ix.at
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1018374	2ix.ch
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1018375	2ix.de
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1021569	3utilities.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1023212	4lima.at
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1023213	4lima.ch
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1023214	4lima.de
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1023565	4u.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1025440	5g.in
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1034492	a2hosted.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1035881	ab.ca
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1036300	abc.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1037096	abkhazia.su
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1037714	abruzzo.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038231	ac.ae
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038232	ac.at
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038233	ac.bd
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038234	ac.be
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038235	ac.bw
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038238	ac.cn
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038240	ac.cr
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038241	ac.cy
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038244	ac.fj
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038247	ac.id
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038248	ac.il
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038249	ac.im
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038250	ac.in
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038251	ac.ir
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038252	ac.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038253	ac.ke
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038254	ac.kr
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038255	ac.lk
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038256	ac.ma
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038257	ac.me
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038258	ac.mu
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038259	ac.mw
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038260	ac.mz
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038261	ac.nz
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038262	ac.pa
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038263	ac.pg
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038264	ac.rs
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038265	ac.ru
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038266	ac.rw
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038267	ac.th
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038268	ac.tz
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038269	ac.ug
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038270	ac.uk
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038271	ac.vn
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038272	ac.za
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038273	ac.zm
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038274	ac.zw
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1038884	accesscam.org
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1041028	act.edu.au
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1041637	activetrail.biz
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1042259	ad.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1042618	adaptable.app
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1043934	adimo.co.uk
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1044249	adm.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1046396	adobeaemcloud.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1046397	adobeaemcloud.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1046423	adobeio-static.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1046424	adobeioruntime.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1047889	adv.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1048761	adygeya.ru
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1048762	adygeya.su
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1048862	ae.org
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1049441	aeroport.fr
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1050145	affinitylottery.org.uk
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1050597	africa.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1051028	ag.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1052280	agr.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1052388	agric.za
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1052513	agro.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1052821	ah.cn
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1053494	ai.in
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1053500	ai.vn
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1053707	aichi.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1055936	aivencloud.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056346	aju.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056413	ak.us
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056495	akadns.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056541	akamai-staging.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056546	akamai.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056560	akamaiedge-staging.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056561	akamaiedge.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056565	akamaihd.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056568	akamaiorigin.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056576	akamaized-staging.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056580	akamaized.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1056969	akita.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1057326	aktyubinsk.su
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1057493	al.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1057498	al.us
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1057740	aland.fi
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1058903	alessandria.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1059756	aliases121.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1063533	alpha-myqnapcloud.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1064261	alt.za
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1064669	altervista.org
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1064826	altoadige.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1065198	alwaysdata.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1065364	am.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1068259	amplifyapp.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1068854	an.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1069546	ancona.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1072679	antagonist.cloud
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1073962	ao.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1074148	aomori.jp
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1074396	ap.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1075378	apigee.io
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1076723	app.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1076972	appchizi.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1077697	applinzi.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1078064	apps-1and1.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1078065	apps-1and1.net
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1078282	appspaceusercontent.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1078292	appspot.com
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1079134	aq.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1079474	aquila.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1079579	ar.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1079582	ar.us
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1081431	arezzo.it
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1082132	arkhangelsk.su
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1082432	armenia.su
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1082902	arq.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1083318	art.br
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1083324	art.pl
public-suffix-only	C:\Users\PC\Downloads\top100110millionurls\01.txt	1085745	ashgabad.su
